train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
0.0001,16742,1.2816553115844727,-240.50411987304688,34.01544952392578,-0.19926626980304718
0.0001,16867,1.2970765829086304,-247.5440673828125,35.9299201965332,-0.20796634256839752
0.0001,16992,1.3128197193145752,-245.34414672851562,41.894447326660156,-0.22239762544631958
0.0001,17117,1.3286617994308472,-243.7742156982422,22.690902709960938,-0.19942273199558258
0.0001,17242,1.3445956707000732,-245.51675415039062,29.625022888183594,-0.2230413258075714
0.0001,17367,1.3606319427490234,-248.36105346679688,29.887828826904297,-0.20961439609527588
0.0001,17492,1.376827359199524,-252.40872192382812,37.499916076660156,-0.25575166940689087
0.0001,17617,1.3930896520614624,-254.5563201904297,34.36993408203125,-0.2335410714149475
0.0001,17742,1.4094504117965698,-250.89352416992188,43.686370849609375,-0.24566642940044403
0.0001,17867,1.4261271953582764,-250.01730346679688,30.05677032470703,-0.2135716676712036
0.0001,17992,1.4429984092712402,-250.64535522460938,41.43494415283203,-0.23551958799362183
0.0001,18117,1.4599204063415527,-250.17889404296875,21.573440551757812,-0.2739383280277252
0.0001,18242,1.4772453308105469,-254.43954467773438,34.056236267089844,-0.2534628212451935
0.0001,18367,1.494561791419983,-255.50363159179688,37.46397399902344,-0.31626471877098083
0.0001,18492,1.5120501518249512,-253.72703552246094,33.1413459777832,-0.26219967007637024
0.0001,18617,1.529514193534851,-257.0425720214844,42.5832405090332,-0.2891358733177185
0.0001,18742,1.547142744064331,-255.722900390625,58.074459075927734,-0.29293954372406006
0.0001,18867,1.5650073289871216,-260.5938415527344,36.839820861816406,-0.3225190341472626
0.0001,18992,1.5828670263290405,-261.525390625,27.869911193847656,-0.2558644413948059
0.0001,19117,1.6008936166763306,-255.5487060546875,37.829078674316406,-0.26786115765571594
0.0001,19242,1.619136095046997,-255.248046875,48.22499465942383,-0.3222578465938568
0.0001,19367,1.6374187469482422,-261.4411926269531,27.854793548583984,-0.30780428647994995
