train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
0.0001,32371,4.13040018081665,91.97029113769531,2949.43408203125,-0.4674047529697418
0.0001,32496,4.174569606781006,102.31729125976562,1188.273681640625,-0.5797728300094604
0.0001,32621,4.219045639038086,91.69267272949219,815.9866333007812,-0.40286433696746826
0.0001,32746,4.264235496520996,97.06639099121094,978.0415649414062,-0.6038076877593994
0.0001,32871,4.310159683227539,92.03419494628906,614.4686279296875,-0.45991814136505127
0.0001,32996,4.356132507324219,93.35658264160156,2646.0888671875,-0.562562108039856
0.0001,33121,4.402260780334473,95.53598022460938,953.6873168945312,-0.40488454699516296
0.0001,33246,4.448578357696533,98.92609405517578,1415.50439453125,-0.4585888683795929
0.0001,33371,4.495245933532715,92.40251159667969,817.6543579101562,-0.5436054468154907
0.0001,33496,4.541197299957275,94.10108947753906,2657.7548828125,-0.6582239866256714
0.0001,33621,4.587820529937744,98.86196899414062,621.7591552734375,-0.5314284563064575
0.0001,33746,4.633902072906494,86.70874786376953,1022.1494140625,-0.2559608817100525
0.0001,33871,4.680775165557861,91.28349304199219,2439.12841796875,-0.48764491081237793
0.0001,33996,4.728320598602295,95.18824768066406,1125.506591796875,-0.47318023443222046
0.0001,34121,4.775619029998779,99.71868896484375,2253.102783203125,-0.6058351397514343
0.0001,34246,4.823087215423584,92.98550415039062,1227.9898681640625,-0.45825308561325073
0.0001,34371,4.872183322906494,93.07553100585938,1040.472900390625,-0.45048460364341736
0.0001,34496,4.922427177429199,95.88630676269531,376.502685546875,-0.4380396008491516
0.0001,34621,4.973257541656494,93.328857421875,730.0374755859375,-0.3059810698032379
0.0001,34746,5.021665096282959,99.40948486328125,498.5549621582031,-0.46892988681793213
0.0001,34871,5.072042465209961,96.00462341308594,1990.67724609375,-0.39711201190948486
0.0001,34996,5.121222019195557,95.75177764892578,914.027587890625,-0.2727733850479126
0.0001,35121,5.1709370613098145,94.63837432861328,796.8810424804688,-0.4777529537677765
0.0001,35246,5.224172115325928,101.27302551269531,2203.575439453125,-0.493422269821167
0.0001,35371,5.275346279144287,93.35143280029297,1999.329833984375,-0.39479947090148926
0.0001,35496,5.327278137207031,90.49392700195312,826.9351196289062,-0.3571862578392029
0.0001,35621,5.378262042999268,97.66905975341797,777.5054931640625,-0.2898721694946289
0.0001,35746,5.431074142456055,101.06866455078125,213.278076171875,-0.3732967972755432
0.0001,35871,5.484187126159668,96.9700927734375,657.5889892578125,-0.380267858505249
0.0001,35996,5.536099910736084,102.6706771850586,775.0038452148438,-0.31997936964035034
0.0001,36121,5.590648651123047,96.83432006835938,1171.172119140625,-0.38104504346847534
0.0001,36246,5.6429033279418945,100.16049194335938,270.2332763671875,-0.33464086055755615
0.0001,36371,5.698816299438477,103.58782958984375,216.23025512695312,-0.33556994795799255
0.0001,36496,5.754730701446533,93.68566131591797,673.3493041992188,-0.2882413864135742
0.0001,36621,5.811411380767822,102.77041625976562,278.6558837890625,-0.4347313642501831
0.0001,36746,5.869471073150635,95.94615936279297,303.055419921875,-0.34941786527633667
0.0001,36871,5.927867412567139,82.56085205078125,232.02108764648438,-0.18113458156585693
0.0001,36996,5.984846591949463,100.65553283691406,378.0948486328125,-0.3624568581581116
